,pred_type,ID,ds,numbox,weight,bulk
250,zhongzhuang,50,2015-09-16,2037,19043.47,102.187199
251,zhongzhuang,50,2015-09-17,950,7271.9,40.7557
252,zhongzhuang,50,2015-09-18,4474,36953.94,203.351795
253,zhongzhuang,50,2015-09-19,3988,37482.2,198.761095
254,zhongzhuang,50,2015-09-20,3800,31662.1,192.4737
255,zhongzhuang,50,2015-09-21,4702,51184.54,274.578089
256,zhongzhuang,50,2015-09-22,1022,8214.3,41.451599
257,zhongzhuang,50,2015-09-23,5657,40768.871,260.645098
258,zhongzhuang,50,2015-09-24,5999,58809.564,384.073396
259,zhongzhuang,50,2015-09-25,3785,21717.842,200.212699
260,zhongzhuang,50,2015-09-26,2270,18277.68,92.4167
261,zhongzhuang,50,2015-09-27,8284,67981.75,360.724497
262,zhongzhuang,50,2015-09-28,6286,59014.76,369.263293
263,zhongzhuang,50,2015-09-29,1575,12914.02,72.731698
264,zhongzhuang,50,2015-09-30,3714,35960.71,214.568698
265,zhongzhuang,50,2015-10-01,5639,53092.17,290.940899
266,zhongzhuang,50,2015-10-02,5066,39580.1,336.930799
267,zhongzhuang,50,2015-10-03,872,10569.0,89.6568
268,zhongzhuang,50,2015-10-04,222,1667.0,10.5065
269,zhongzhuang,50,2015-10-05,507,21141.525,140.0812
270,zhongzhuang,50,2015-10-06,194,1123.8,13.0052
271,zhongzhuang,50,2015-10-07,210,842.5,7.3039
272,zhongzhuang,50,2015-10-08,517,4731.0,28.7089
273,zhongzhuang,50,2015-10-09,144,687.5,6.1535
274,zhongzhuang,50,2015-10-10,2810,15656.7,137.8031
275,zhongzhuang,50,2015-10-11,3336,18328.922,123.676096
276,zhongzhuang,50,2015-10-12,5171,50421.205,274.918297
277,zhongzhuang,50,2015-10-13,4366,36215.506,209.752398
278,zhongzhuang,50,2015-10-14,7324,41539.2,214.136196
279,zhongzhuang,50,2015-10-15,3880,39120.428,224.970596
280,zhongzhuang,50,2015-10-16,4627,53646.1,223.5755
281,zhongzhuang,50,2015-10-17,7378,60389.06,334.634696
282,zhongzhuang,50,2015-10-18,8000,62549.1,345.502498
283,zhongzhuang,50,2015-10-19,8267,71261.241,372.823498
284,zhongzhuang,50,2015-10-20,6713,50571.012,316.807899
285,zhongzhuang,50,2015-10-21,4323,32710.81,210.798698
286,zhongzhuang,50,2015-10-22,4755,45569.75,287.968696
287,zhongzhuang,50,2015-10-23,2209,30080.2,163.855699
288,zhongzhuang,50,2015-10-24,4208,52950.0,215.843799
289,zhongzhuang,50,2015-10-25,3621,36494.161,279.4301
290,zhongzhuang,50,2015-10-26,7193,56371.301,311.969599
291,zhongzhuang,50,2015-10-27,2811,27646.5,201.329599
292,zhongzhuang,50,2015-10-28,6777,72189.5,351.345198
293,zhongzhuang,50,2015-10-29,3735,33976.008,207.5321
294,zhongzhuang,50,2015-10-30,5244,48819.833,287.969897
295,zhongzhuang,50,2015-10-31,5210,33938.19,268.352996
296,zhongzhuang,50,2015-11-01,9041,75990.093,531.202199
297,zhongzhuang,50,2015-11-02,1173,7827.601,65.971399
298,zhongzhuang,50,2015-11-03,8240,64488.812,321.686793
299,zhongzhuang,50,2015-11-04,5457,45450.472,243.147297
300,zhongzhuang,50,2015-11-05,4747,37342.15,217.106398
301,zhongzhuang,50,2015-11-06,4867,42841.52,267.090298
302,zhongzhuang,50,2015-11-07,5044,39317.74,171.192496
303,zhongzhuang,50,2015-11-08,4876,43365.56,283.854195
304,zhongzhuang,50,2015-11-09,5516,53132.519,296.925193
305,zhongzhuang,50,2015-11-10,2700,25058.5,151.755698
306,zhongzhuang,50,2015-11-11,4129,35662.4,217.236599
307,zhongzhuang,50,2015-11-12,2489,21807.5,130.846
308,zhongzhuang,50,2015-11-13,685,5625.8,38.0152
309,zhongzhuang,50,2015-11-14,2269,22885.0,122.369898
310,zhongzhuang,50,2015-11-15,2718,26210.9,146.240797
